Area name,Area budget,,,,,,,,,,,
Garðabær,100,,,,,,,,,,,
,,,,,,,,,,,,
Area Name,URL to original idea,Image URL,PDF Url,Costs,Location 1,Location 2 (optional),Name-en,Description-en,Name-pl,Description-pl,Name-is,Description-is
Garðabær,https://betraisland.is/post/88288,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/01.png,,6,"64.071493, -21.906286",,"The longest slide in Garðabær, in Urriðaholt",Installation of a slide down a hill by a walkway in the west part of Urriðaholt. ,Najdłuższa zjeżdżalnia w Garðabær w Urriðaholt,Zamontowanie zjeżdżalni na górce przy ścieżce spacerowej w zachodniej części Urriðaholt. ,Lengsta rennibraut í Garðabæ í Urriðaholti,Setja upp rennibraut niður brekku við göngustíg í vesturhluta Urriðaholts.
Garðabær,https://betraisland.is/post/88229,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/02.png,,12,"64.080206, -21.892922",,Fixing of walking trails in Vífilsstaðahraun,Repairing a walking trail in Vífilstaðahraun and installing bridges or floating pathways where water tends to accumulate.,Naprawa ścieżek w Vífilsstaðahraun,Naprawa ścieżki spacerowej w Vífilsstaðahraun oraz zamontowanie mostów lub kładek w miejscach często zalewanych wodą.,Lagfæra stíga í Vífilsstaðahrauni,Lagfæra göngustíg í Vífilsstaðahrauni og setja upp brýr eða fljótandi stíga þar sem vatn á það til að fljóta yfir.
Garðabær,https://betraisland.is/post/88553,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/03.png,,15,"64.073853, -21.882911",,An improved walking trail from Vífilsstaðavatn up to the Gunnhildur cairn,Fixing the walking trail with a new surface materialand the installation of steps from Vífilsstaðavatn up to the Gunnhildur cairn.,Ulepszenie ścieżki spacerowej od Vífilsstaðavatn do kopca Gunnhildur,Naprawa ścieżki spacerowej przez wykonanie nowego pokrycia oraz schodów od Vífilsstaðavatn do kopca Gunnhildur.,Bættur göngustígur frá Vífilsstaðavatni upp að vörðunni Gunnhildi,Lagfæra göngustíginn með nýju yfirborðsefni og tröppum frá Vífilsstaðavatni upp að vörðunni Gunnhildi.
Garðabær,https://betraisland.is/post/88294,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/04.png,,12,"64.094600, -21.898225",,Synthetic turf installation on the football field between Hæðahverfi and Bæjargil,Installing synthetic turf on the footballfield in the open area between Hæðir and Bæjargil.,Sztuczna murawa na boisko między osiedlem Hæðir a Bæjargil,"Położenie sztucznej murawy na boisku, na otwartej przestrzeni między Hæðar a Bæjargil.",Gervigras á fótboltavöllinn milli Hæðahverfis og Bæjargils,Setja gervigras á fótboltavöllinn á opnu svæði milli Hæða og Bæjargils.
Garðabær,https://betraisland.is/post/88293,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/05.png,,12,"64.097199, -21.915484",,Synthetic turf on the football field by Haustakur,Installing synthetic turf on the football field by Haustakur in Akrahverfi.,Sztuczna murawa na boisko przy Haustakur,Położenie sztucznej murawy na boisku przy ulicy Haustakur na osiedlu Akrar.,Gervigras á fótboltavöllinn við Haustakur,Setja gervigras á fótboltavöllinn við Haustakur í Akrahverfi.
Garðabær,https://betraisland.is/post/88299,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/06.png,,5,"64.088735, -21.918959",,Inside park in Garðatorg,An inside park in the pedestrian street in Garðatorg. ,Wewnętrzny plac zabaw w Garðatorg,Wewnętrzny plac zabaw na deptaku w Garðatorg. ,Innileikvöllur á Garðatorgi,Innileikvöllur í göngugötunni á Garðatorgi.
Garðabær,https://betraisland.is/post/88337,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/07.png,,20,,,Family park in central Garðabær,"Outside area for families in Garðabær. Vegetation, play area, outdoor grill, and more.",Rodzinny teren rekreacyjny w centrum Garðabær,"Teren rekreacyjny dla rodzin w Garðabær. Roślinność, plac zabaw, zewnętrzny grill itd.",Fjölskylduútisvæði miðsvæðis í Garðabæ,"Útisvæði fyrir fjölskyldur í Garðabæ. Gróður, leiksvæði, útigrill o.fl."
Garðabær,https://betraisland.is/post/88435,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/08.png,,10,"64.096348, -22.031989",,Better playground by Lambhagi in Álftanes,Renewing the playground by Lambhagi in Álftanes,Lepszy plac zabaw przy Lambhagi w Álftanes,Odnowienie placu zabaw przy ulicy Lambhagi w Álftanes.,Betri leikvöllur við Lambhaga á Álftanesi,Endurnýja leikvöllinn við Lambhaga á Álftanesi.
Garðabær,https://betraisland.is/post/88354,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/09.png,,20,"64.099090, -22.031535",,Improved facilities for sea bathing in Helguvík ,"Improved facilities for sea bathing in Helguvík in Álftanes. E.g., parking, showers etc.",Ulepszenie infrastruktury do pływania w morzu w Helguvík ,"Ulepszenie infrastruktury do pływania w morzu w Helguvík na Álftanes. Np. parking, prysznice itd.",Bætt aðstaða fyrir sjósundsiðkun í Helguvík ,"Bætt aðstaða fyrir sjósundsiðkun í Helguvík á Álftanesi. T.d bílastæði, sturtur o.fl."
Garðabær,https://betraisland.is/post/88851,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/10.png,,2,"64.088769, -21.929729",,Indoor play area in Ásgarður,Install an indoor play area in the open area in the foyer of Ásgarður. ,Wewnętrzny plac zabaw w Ásgarður,Postawienie wewnętrznego placu zabaw w otwartej przestrzeni w holu w Ásgarður. ,Innileiksvæði í Ásgarði,Setja upp innileiksvæði í opna rýminu í anddyri Ásgarðs.
Garðabær,https://betraisland.is/post/88300,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/11.png,,1,"64.088757, -21.929174",,"Statue of Sushi, the cat",Install a statue/plaque of Sushi the cat by Ásgarður in Garðabær.,Pomnik kota Sushi,Zamontowanie pomnika/popiersia kota Sushi przy Ásgarður w Garðabær.,Stytta af kettinum Sushi,Setja upp styttu/skjöld af kettinum Sushi við Ásgarð í Garðabæ.
Garðabær,https://betraisland.is/post/88849,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/12.png,,8,"64.093577, -21.940894",,Putting green in Sjáland,Build a putting green in an open area in Sjáland.,Pole do puttingu w Sjáland,Postawienie treningowego pola golfowego do puttingu na otwartej przestrzeni w Sjáland.,Púttvöllur í Sjálandi,Setja upp púttvöll á opnu svæði í Sjálandi.
Garðabær,https://betraisland.is/post/88226,https://yrpri-eu-direct-assets.s3.eu-west-1.amazonaws.com/Gardabaer2024/13.png,,10,"64.112573, -22.016350",,Observation deck for bird watching on the beach by Kasthúsatjörn,Building an observation deck on top of the stone wall by the beach of Kasthúsatjörn.,Taras widokowy do obserwacji ptaków na brzegu przy Kasthúsatjörn,Postawienie nowego tarasu widokowego nad falochronem na brzegu przy Kasthúsatjörn.,Útsýnispallur fyrir fuglaskoðun í fjörunni við Kasthúsatjörn,Reisa útsýnispall yfir grjótgarðinn við fjöruna við Kasthúsatjörn.
